Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
105079,0,Drumgooland Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"19 Ballymackilreiny Road, Ballyward, Castlewellan, County Down, BT31 9RB",http://www.drumgoolandpc.org/welcome.htm,,02840650522,0,The advancement of religion,General public,Religious activities,
105080,0,Drumlee Congregation Of The Presbyterian Church In Ireland,12/08/2016,Recently registered,,0,0,0,0,0,"128 Lackan Road, Ballyward, Castlewellan, County Down, BT31 9RX",,,028-40650245,0,The advancement of religion,General public,Religious activities,
105081,0,Hamilton Road Congregation Of The Presbyterian Church In Ireland,15/08/2016,Recently registered,,0,0,0,0,0,"85 Churchill Park, Bangor, County Down, BT20 5RW",www.hrpc.org.uk,office@hrpc.org.uk,028 9146 5717,0,The advancement of religion,General public,Religious activities,
105082,0,Kilkinamurry Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"Kilkinamurry Road, Ballyward, Castlewellan, County Down, BT31 9QS",,,07968 678734,0,The advancement of religion,General public,Religious activities,
105083,0,Cargycreevy Presbyterian Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"10 Cargacreevy Road, Ballynahinch, County Down, BT24 8UG",,,02892638355,0,The advancement of religion,General public,Religious activities,
105084,0,St Andrews Bangor Congregation Of The Presbyterian Church In Ireland,04/08/2016,Recently registered,,0,0,0,0,0,"Clandeboye Road Presbyterian Church, 111 Clandeboye Road, Bangor, Co Down, BT20 3JW",,,02891460354,0,The advancement of religion,General public,Religious activities,
105085,0,"Banbridge/ Aghaderg, Donaghmore & Scarva/ St. Mellan, Aghaderg / Down And Dromore / Church Of Ireland",23/03/2016,Recently registered,,0,0,0,0,0,"79 Knockchree Avenue, Kilkeel, Newry, County Down, BT34 4BP",,,02841769076,0,The advancement of religion,General public,Religious activities,
105086,0,Omagh/Langfield U/L/Derry/Church Of Ireland,11/04/2016,Recently registered,,0,0,0,0,0,"70 Greenville Road, Castlederg, County Tyrone, BT81 7NU",,,02881671433,0,The advancement of religion,General public,Religious activities,
105087,0,First Newtownards Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"7 Ascot Park, Newtownards, County Down, BT23 4AZ",www.firstards.org.uk,office@firstards.org.uk,02891811072,0,The advancement of religion,General public,Religious activities,
105088,0,1St Keady & District Scouts Squirrel Group,21/04/2016,Recently registered,,0,0,0,0,0,"C/O 1St Keady & District Squirrels, 111 Maddan Road, Armagh, BT60 3LE",,,07919 015656,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers","Cross-border/cross-community,Education/training,Volunteer development,Youth development",
105089,0,Muckamore Pre-School Playgroup,12/10/2016,Recently registered,,0,0,0,0,0,"Muckamore Community Centre, 4 Ballycraigy Road, Antrim, BT41 1PH",,,028 9446 3208,0,The advancement of education,Preschool (0-5 year olds),Education/training,
105090,0,First Hillsborough Brownie Pack,22/03/2016,Recently registered,,0,0,0,0,0,"First Hillsborough Brownie Pack, The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",http://www.girlguidingulster.org.uk,emma@mccartney.ie,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105091,0,Tuesday's Child,29/06/2016,Recently registered,,0,0,0,0,0,"74 North Parade, Belfast, BT7 2GJ",www.tuesdayschild.org.uk,info@tuesdayschild.org.uk,02890646014,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Asylum seekers/refugees,Children (5-13 year olds),Ethnic minorities,Homelessness,Overseas/developing countries,Preschool (0-5 year olds),Youth (14-25 year olds)","General charitable purposes,Overseas aid/famine relief,Relief of poverty",
105092,0,Millburn Community Pre-School Playgroup Limited,03/02/2017,Recently registered,,0,0,0,0,0,"Millburn Community Centre, Linden Avenue, Coleraine, BT52 2AN",,paulamcintyre@btinternet.com,028 7032 0059,605967,The advancement of education,"Parents,Preschool (0-5 year olds),Voluntary and community sector,Volunteers",Playgroup/after schools,
105093,0,"St. Mary's Youth Club, Newry",22/12/2016,Recently registered,,0,0,0,0,0,"Boat Street, Newry, BT34 2DB",,katcal89@hotmail.co.uk,07749 674647,0,"The advancement of education,The advancement of citizenship or community development","Carers,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,General public,Learning disabilities,Men,Parents,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Cultural,Disability,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
105094,0,Mothers' Union Down & Dromore,23/05/2016,Recently registered,,0,0,0,0,0,"Mothers' Union Ireland, St Michan's Church, Church Street, Dublin 7, Ireland",www.mothersunion.org,office@mothersunion.ie,+353 (0)1 873 5075,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Ex-offenders and prisoners,General public,Overseas/developing countries,Specific areas of deprivation,Voluntary and community sector","Education/training,Overseas aid/famine relief,Relief of poverty,Religious activities",
105095,0,Core Issues Trust,08/09/2016,Recently registered,,0,0,0,0,0,"102 Kinedale Park, Ballynahinch, County Down, BT24 8YS",http://www.core-issues.org/,info@core-issues.org,02897563008,606015,"The advancement of education,The advancement of religion","Addictions (drug/solvent/alcohol abuse),Adult training,General public,Sexual orientation","Advice/advocacy/information,Counselling/support,Education/training,Gender,Human rights/equality",
105096,0,Brassneck Theatre Company,30/06/2016,Recently registered,,0,0,0,0,0,"217 Falls Road, Belfast, BT12 6FB",www.brassnecktheatrecompany.com,info@brassnecktheatrecompany.com,02890308140,72517,"The advancement of the arts, culture, heritage or science","General public,Interface communities,Men,Parents,Women,Youth (14-25 year olds)","Arts,Community development,Cultural,Heritage/historical,Youth development",
105098,0,Mill Strand Children's Centre,14/04/2016,Recently registered,,0,0,0,0,0,"Mill Strand Integrated Primary Scho, 33 Dhu Varren, Portrush, BT56 8EW",www.millstrand.co.uk,,028 7082 3090,0,The advancement of education,"Children (5-13 year olds),Preschool (0-5 year olds)","Education/training,Playgroup/after schools",
105099,0,The Ulster-Scots Language Society,11/04/2016,Recently registered,,0,0,0,0,0,"79 Beechgrove Avenue, Belfast, BT6 0ND",www.ulsterscotslanguage.com,ulsterscotslanguage@gmail.com,028 90795446,0,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Language community,Voluntary and community sector","Advice/advocacy/information,Community development,Cultural,Education/training,Heritage/historical,Research/evaluation",
105100,0,Citizens Advice Mid Ulster,14/04/2016,Recently registered,,0,0,0,0,0,"5-6 Feeny's Lane, Dungannon, County Tyrone, BT70 1TX",www.citizensadvice.co.uk,camidulster@citizensadvice.co.uk,028 8676 6126,51021,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),General public,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Tenants,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Disability,Education/training,General charitable purposes,Human rights/equality,Medical/health/sickness,Relief of poverty,Research/evaluation,Volunteer development,Welfare/benevolent",
105101,0,Down Community Health Committee,04/10/2016,Recently registered,,0,0,0,0,0,"1A Sufficial Lane, Downpatrick, County Down, BT30 9AR",,eamonnmcgrady@yahoo.com,07933286422,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Mental health,Older people","Advice/advocacy/information,Medical/health/sickness",
105102,0,Lisbeg Pipe Band,19/04/2016,Recently registered,,0,0,0,0,0,"55 Drumlee Road, Dungannon, Tyrone, BT71 7QD",,lisbegpipeband@yahoo.co.uk,02837549163,0,"The advancement of the arts, culture, heritage or science",General public,"Cross-border/cross-community,Cultural,Education/training,Heritage/historical",
105103,0,Clonduff Playgroup,01/04/2016,Recently registered,,0,0,0,0,0,"Hilltown Community Centre, 25 Rostrevor Road, Hilltown, Newry, County Down, BT34 5TU",,clonduffpg@hotmail.com,028 4063 8234,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
105105,0,The Community Foundation For Northern Ireland,21/04/2016,Recently registered,,0,0,0,0,0,"6A Albert Street, Belfast, BT12 4HQ",www.communityfoundationni.org,info@communityfoundationni.org,028 9024 5927,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Asylum seekers/refugees,Older people,Specific areas of deprivation,Voluntary and community sector,Women,Youth (14-25 year olds)","Community development,Grant making",
105106,0,Ballinderry Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"4 Moss Road, Stoneyford, Lisburn, County Antrim, BT28 3XJ",http://www.ballinderrypresbyterian.org/,,028 9264 8832,0,The advancement of religion,General public,Religious activities,
105107,0,57Th B Belfast Rainbow Unit,06/04/2016,Recently registered,,0,0,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105108,0,Hillsborough & Dromore District Girl Guiding,19/07/2016,Recently registered,,0,0,0,0,0,"31 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
105109,0,Gilford Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"6 Knollwood, Seapatrick, Banbridge, County Down, BT32 4PE",,,02840623039,0,The advancement of religion,General public,Religious activities,
105110,0,Second Dromara Congregation Of The Presbyterian Church In Ireland,08/08/2016,Recently registered,,0,0,0,0,0,"4 Begny Hill Road, Dromara, Dromore, County Down, BT25 2AT",www.seconddromara.org,khanna@presbyterianireland.org,028 9753 2809,0,The advancement of religion,General public,Religious activities,
105111,0,Tullylish Congregation Of The Presbyterian Church In Ireland,12/08/2016,Recently registered,,0,0,0,0,0,"6 Knollwood, Seapatrick, Banbridge, County Down, BT32 4PE",,,02840623039,0,The advancement of religion,General public,Religious activities,
105112,0,12Th Bangor Squirrel Drey,01/04/2016,Recently registered,,0,0,0,0,0,"21 Birch Park, Bangor, County Down, BT19 1RZ",http://12thbangorscoutgroup.com/,tscroggie@btinternet.com,02891274566,0,"The advancement of education,The advancement of citizenship or community development",Children (5-13 year olds),"Cross-border/cross-community,Religious activities,Sport/recreation,Volunteer development,Youth development",
105113,0,Donacloney Congregation Of The Presbyterian Church In Ireland,16/08/2016,Recently registered,,0,0,0,0,0,"61 Moygannon Road, Donaghcloney, Craigavon, County Armagh, BT66 7PN",www.donacloneypresbyterian.org.uk,,028 3882 0548,0,The advancement of religion,General public,Religious activities,
